m=100
n=100

A
745823,813095,383245,617242,575453,530005,274998,248554,451584,227636,804431,986104,29895,535618,86986,802072,989145,66853,939393,18079,683808,783716,534092,885349,898996,625901,137783,217724,182059,41724,106852,616406,939656,354392,410571,984349,945575,676613,988302,766809,336633,662349,244090,295437,680147,527800,411535,602599,750496,583492,551748,583530,511772,82501,719543,996157,354470,971257,346384,886533,454641,413369,217654,125567,308846,726078,782851,693758,9703,843199,922325,770932,42564,378124,704311,729487,224200,268982,672999,477440,623679,236369,177042,829627,766899,934473,107800,182146,99005,489713,193165,895882,99000,44070,557251,772473,311872,178901,338890,210067
510104,906356,628887,101444,390794,54522,501234,431665,997561,811585,485601,894438,137460,389944,927350,917486,713546,618300,343223,936022,124687,730559,646443,833136,398222,749798,835205,322393,552217,979128,549264,330357,619434,360573,756486,413843,492295,694713,972732,327688,837788,739047,954171,31826,356805,662621,281430,230306,711100,624536,590568,660405,47459,348720,451286,240829,715017,856169,281436,731025,137677,836707,138516,588169,366094,806741,503732,489544,877037,353077,449389,963528,42202,972957,189126,667088,586399,675081,360959,620241,811133,19159,83782,974800,651315,231161,403432,121933,268366,257772,331599,152149,347943,121571,884142,94188,930035,398960,47306,342308
735940,794662,544861,686193,893623,54697,303592,46096,195397,720139,721726,877788,582392,70591,922738,800353,285876,543618,984776,715650,838954,433204,470572,560670,269019,748994,503839,646775,307677,138639,475521,362396,788093,780275,668480,133417,21458,559797,300749,939405,980903,286549,800801,896102,597487,884006,943727,549114,728360,576717,25760,446476,646267,521156,372250,937129,829517,849071,372472,593144,872541,933496,668432,206697,653817,71959,406668,666899,933720,810932,484497,756726,416990,971784,987974,864135,388823,454688,246612,784402,882827,913704,558241,598829,148792,899704,450339,205593,899642,762563,882475,284879,673194,664247,122727,407260,275215,716642,283313,896189
826562,389966,497853,694775,834353,609591,574695,325975,456371,713768,884394,720828,18515,674745,438453,437764,116949,814664,324788,246153,342648,375630,546509,561877,395762,398071,515319,657497,950911,722321,400020,831855,134252,60373,84156,163815,324153,301657,11582,539860,95282,146430,631105,859307,974220,570796,996851,553497,515411,330615,429945,491756,70944,887729,64540,436129,826613,394475,613437,818623,886225,931106,190704,258508,897856,593322,503791,612771,819405,531843,201996,453839,427854,966050,620018,695360,720137,346830,516943,556651,156411,562013,694773,426399,836255,731361,359967,454158,386329,775533,734245,430221,693723,945209,784212,705543,109245,389870,590864,459326
50245,228611,834173,15546,863698,77977,669010,500162,217916,571573,122101,671134,599546,55882,56249,152416,19523,435119,832206,617353,520082,863855,97608,908044,107928,516949,143070,559327,4480,766659,848695,916814,986968,505084,271349,100661,507800,585568,762864,82871,661563,516931,170965,938553,590443,440579,941914,655880,451891,839682,532577,553843,680034,367127,239215,578882,866875,406718,112527,443791,300115,401327,833348,403569,390115,360385,140170,260056,86724,429341,257209,297485,424801,119119,495017,706379,243498,785049,73997,393823,3294,220599,1201,189099,142398,268003,174810,138563,598846,901049,939375,221107,482620,375949,523733,264799,68264,436271,173771,26010
954675,430540,961556,762391,7249,680007,705922,645094,552266,218031,772344,227951,370802,890919,856363,402374,317951,608597,910187,909090,591554,332505,853050,442343,904347,33083,532380,716470,179220,336467,187632,321860,403798,548522,48644,552688,274739,241426,243070,154075,956413,935656,818697,728235,175729,360307,188709,1099,316351,699588,625218,543017,438982,287356,501610,761523,762385,576014,747638,645500,123132,504349,347196,92057,147764,198090,672238,431455,694374,256710,9660,532237,279320,946226,906435,392624,24758,671405,837155,971498,56839,450269,582429,686607,719405,650006,726888,373785,581541,116030,57560,979764,284752,594934,962158,185697,192959,341579,932892,390607
273144,151862,397049,374660,131028,434985,91422,614589,10880,573218,789710,235291,447965,569316,61308,496239,642280,221188,837041,971073,846358,505951,278804,746593,236854,957342,620223,600223,172522,90256,255188,858557,911059,699604,725156,229809,576012,810610,403784,988439,89908,320873,511361,60512,725661,556512,529313,829966,858746,789009,317765,452153,752204,109773,109653,269811,524590,972649,710380,311791,291387,850343,911640,639241,255296,88575,838240,584678,948104,60935,584600,285037,827716,190906,442475,393351,826557,676839,207524,318037,133725,671431,570949,169684,147571,476028,908094,552131,32843,53768,805045,451320,382585,789623,364224,532304,711629,871465,328623,650084
974835,75875,586978,413828,309068,263761,758743,995216,186490,781124,195718,992359,802243,424170,728837,498304,808972,356445,73151,590951,910180,193686,432311,749135,39088,946321,763650,558777,183762,497899,517798,994243,854838,962401,678910,403442,934974,479433,231715,396230,705049,558515,756607,995482,962429,535021,963867,115538,51353,304280,580150,530918,901199,540505,431924,542622,712387,16576,800902,142424,478423,256761,369029,661732,169526,278712,198142,194991,326773,880327,471049,403910,179150,968923,407397,844473,615287,376549,877170,784832,464901,813959,898435,429182,334263,596607,901982,702037,377393,734930,954099,542768,540060,311041,71142,181899,92898,463436,9233,915018
642707,1319,30288,208391,454912,127179,8549,727053,354052,780425,436601,436499,49118,49537,91009,593997,241008,841354,857199,963610,488849,220232,226131,536742,762087,347502,461178,639288,917329,161489,715608,577697,433243,884232,392991,178893,633298,623964,327875,802946,999479,980977,126950,232164,23535,607394,110721,407401,884066,548088,368940,208267,440888,956193,123938,470711,856883,43295,691595,978984,283197,133694,685249,909446,610831,899974,193353,754401,346196,418568,155636,818983,624887,738535,805094,67129,950786,497527,755122,742380,831114,156418,457255,618063,932178,835073,895414,582477,582706,854912,34769,885410,407672,36286,746123,154744,143823,605920,254407,324087
401731,406314,386130,609763,166808,188011,94538,323119,769575,234042,740340,692788,824061,827961,293298,309300,522983,325232,831827,810277,556955,262891,680535,233577,456371,384506,538556,991704,755197,980454,234706,528512,51341,756852,601941,857155,988277,929478,409456,241,540833,207652,219206,325739,95859,747509,748485,543254,338066,832318,552528,957540,892823,356440,546357,346617,622766,796605,745850,125449,822377,25053,414371,731381,781353,367223,744843,892257,242528,129510,224991,349949,287014,927482,51219,592627,162815,838390,167478,502151,999330,355343,46982,213582,397779,333602,229526,936115,683158,962111,437917,940332,5735,610269,801057,232905,932463,763240,826433,573422
